Geracao,Melhor_X,Melhor_Y,Fitness
285,14.096375,0.845703,-6958.726074
286,14.096375,0.845703,-6958.726074
287,14.096375,0.845703,-6958.726074
288,14.096375,0.845703,-6958.726074
289,14.096375,0.845703,-6958.726074
290,14.096375,0.845703,-6958.726074
291,14.096375,0.845703,-6958.726074
292,14.096375,0.845703,-6958.726074
293,14.096375,0.845703,-6958.726074
294,14.096375,0.845703,-6958.726074
295,14.096375,0.845703,-6958.726074
296,14.096375,0.845703,-6958.726074
297,14.096375,0.845703,-6958.726074
298,14.096375,0.845703,-6958.726074
299,14.096375,0.845703,-6958.726074
300,14.096375,0.845703,-6958.726074
301,14.096375,0.845703,-6958.726074
302,14.096375,0.845703,-6958.726074
303,14.096375,0.845703,-6958.726074
304,14.096375,0.845703,-6958.726074
305,14.096375,0.845703,-6958.726074
306,14.096375,0.845703,-6958.726074
307,14.095795,0.844666,-6959.896973
308,14.095795,0.844666,-6959.896973
309,14.095795,0.844666,-6959.896973
310,14.095795,0.844666,-6959.896973
311,14.095795,0.844666,-6959.896973
312,14.095795,0.844666,-6959.896973
313,14.095795,0.844666,-6959.896973
314,14.095795,0.844666,-6959.896973
315,14.095795,0.844666,-6959.896973
316,14.095795,0.844666,-6959.896973
317,14.095795,0.844666,-6959.896973
318,14.095795,0.844666,-6959.896973
319,14.095795,0.844666,-6959.896973
320,14.095795,0.844666,-6959.896973
321,14.095795,0.844666,-6959.896973
322,14.095795,0.844666,-6959.896973
323,14.095795,0.844666,-6959.896973
324,14.095795,0.844666,-6959.896973
325,14.095795,0.844666,-6959.896973
326,14.095795,0.844666,-6959.896973
327,14.095795,0.844666,-6959.896973
328,14.095795,0.844666,-6959.896973
329,14.095795,0.844666,-6959.896973
330,14.095795,0.844666,-6959.896973
331,14.095795,0.844666,-6959.896973
332,14.095795,0.844666,-6959.896973
333,14.095718,0.844498,-6960.085938
334,14.095718,0.844498,-6960.085938
335,14.095703,0.844482,-6960.103516
336,14.095703,0.844482,-6960.103516
337,14.095703,0.844482,-6960.103516
338,14.095703,0.844482,-6960.103516
339,14.095703,0.844482,-6960.103516
340,14.095703,0.844482,-6960.103516
341,14.095703,0.844482,-6960.103516
342,14.095703,0.844482,-6960.103516
343,14.095703,0.844482,-6960.103516
344,14.095703,0.844482,-6960.103516
345,14.095703,0.844482,-6960.103516
346,14.095703,0.844482,-6960.103516
347,14.095703,0.844482,-6960.103516
348,14.095703,0.844482,-6960.103516
349,14.095703,0.844482,-6960.103516
350,14.095703,0.844482,-6960.103516
351,14.095703,0.844482,-6960.103516
352,14.095703,0.844482,-6960.103516
353,14.095703,0.844482,-6960.103516
354,14.095703,0.844482,-6960.103516
355,14.095703,0.844482,-6960.103516
356,14.095703,0.844482,-6960.103516
357,14.095703,0.844482,-6960.103516
358,14.095703,0.844482,-6960.103516
359,14.095703,0.844482,-6960.103516
360,14.095703,0.844482,-6960.103516
361,14.095703,0.844482,-6960.103516
362,14.095703,0.844482,-6960.103516
363,14.095703,0.844482,-6960.103516
364,14.095703,0.844482,-6960.103516
365,14.095703,0.844482,-6960.103516
366,14.095703,0.844482,-6960.103516
367,14.095703,0.844482,-6960.103516
368,14.095703,0.844482,-6960.103516
369,14.095703,0.844482,-6960.103516
370,14.095703,0.844482,-6960.103516
371,14.095703,0.844482,-6960.103516
372,14.095703,0.844482,-6960.103516
373,14.095703,0.844482,-6960.103516
374,14.095703,0.844482,-6960.103516
375,14.095703,0.844482,-6960.103516
376,14.095703,0.844482,-6960.103516
377,14.095703,0.844482,-6960.103516
378,14.095703,0.844482,-6960.103516
379,14.095703,0.844482,-6960.103516
380,14.095703,0.844482,-6960.103516
381,14.095703,0.844482,-6960.103516
382,14.095703,0.844482,-6960.103516
383,14.095703,0.844482,-6960.103516
384,14.095703,0.844482,-6960.103516
385,14.095703,0.844482,-6960.103516
386,14.095703,0.844482,-6960.103516
387,14.095703,0.844482,-6960.103516
388,14.095703,0.844482,-6960.103516
389,14.095703,0.844482,-6960.103516
390,14.095703,0.844482,-6960.103516
391,14.095703,0.844482,-6960.103516
392,14.095703,0.844482,-6960.103516
393,14.095703,0.844482,-6960.103516
394,14.095703,0.844482,-6960.103516
395,14.095703,0.844482,-6960.103516
396,14.095703,0.844482,-6960.103516
397,14.095703,0.844482,-6960.103516
398,14.095703,0.844482,-6960.103516
399,14.095703,0.844482,-6960.103516
400,14.095703,0.844482,-6960.103516
401,14.095703,0.844482,-6960.103516
402,14.095703,0.844482,-6960.103516
403,14.095703,0.844482,-6960.103516
404,14.095703,0.844482,-6960.103516
405,14.095703,0.844482,-6960.103516
406,14.095703,0.844482,-6960.103516
407,14.095703,0.844482,-6960.103516
408,14.095703,0.844482,-6960.103516
409,14.095703,0.844482,-6960.103516
410,14.095703,0.844482,-6960.103516
411,14.095535,0.844086,-6960.548340
412,14.095535,0.844086,-6960.548340
413,14.095535,0.844086,-6960.548340
414,14.095535,0.844086,-6960.548340
415,14.095535,0.844086,-6960.548340
416,14.095535,0.844086,-6960.548340
417,14.095535,0.844086,-6960.548340
418,14.095520,0.844055,-6960.583008
419,14.095520,0.844055,-6960.583008
420,14.095520,0.844055,-6960.583008
421,14.095520,0.844055,-6960.583008
422,14.095490,0.844025,-6960.618164
423,14.095490,0.844025,-6960.618164
424,14.095490,0.844025,-6960.618164
425,14.095490,0.844025,-6960.618164
426,14.095490,0.844025,-6960.618164
427,14.095490,0.844025,-6960.618164
428,14.095490,0.844025,-6960.618164
429,14.095490,0.844025,-6960.618164
430,14.095490,0.844025,-6960.618164
431,14.095490,0.844025,-6960.618164
432,14.095490,0.844025,-6960.618164
433,14.095490,0.844025,-6960.618164
434,14.095490,0.844025,-6960.618164
435,14.095490,0.844025,-6960.618164
436,14.095490,0.844025,-6960.618164
437,14.095490,0.844025,-6960.618164
438,14.095490,0.844025,-6960.618164
439,14.095490,0.844025,-6960.618164
440,14.095490,0.844025,-6960.618164
441,14.095490,0.844025,-6960.618164
442,14.095490,0.844025,-6960.618164
443,14.095490,0.844025,-6960.618164
444,14.095490,0.844025,-6960.618164
445,14.095490,0.844025,-6960.618164
446,14.095490,0.844025,-6960.618164
447,14.095490,0.843994,-6960.651855
448,14.095490,0.843994,-6960.651855
449,14.095490,0.843994,-6960.651855
450,14.095490,0.843994,-6960.651855
451,14.095490,0.843994,-6960.651855
452,14.095490,0.843994,-6960.651855
453,14.095490,0.843994,-6960.651855
454,14.095490,0.843994,-6960.651855
455,14.095490,0.843994,-6960.651855
456,14.095490,0.843994,-6960.651855
457,14.095474,0.843887,-6960.770020
458,14.095459,0.843887,-6960.770508
459,14.095459,0.843887,-6960.770508
460,14.095459,0.843887,-6960.770508
461,14.095459,0.843887,-6960.770508
462,14.095459,0.843887,-6960.770508
463,14.095459,0.843887,-6960.770508
464,14.095459,0.843887,-6960.770508
465,14.095459,0.843887,-6960.770508
466,14.095459,0.843887,-6960.770508
467,14.095459,0.843887,-6960.770508
468,14.095459,0.843887,-6960.770508
469,14.095459,0.843887,-6960.770508
470,14.095459,0.843887,-6960.770508
471,14.095459,0.843887,-6960.770508
472,14.095459,0.843887,-6960.770508
473,14.095459,0.843887,-6960.770508
474,14.095459,0.843887,-6960.770508
475,14.095459,0.843887,-6960.770508
476,14.095459,0.843887,-6960.770508
477,14.095459,0.843887,-6960.770508
478,14.095459,0.843887,-6960.770508
479,14.095459,0.843887,-6960.770508
480,14.095459,0.843887,-6960.770508
481,14.095459,0.843887,-6960.770508
482,14.095459,0.843887,-6960.770508
483,14.095459,0.843887,-6960.770508
484,14.095459,0.843887,-6960.770508
485,14.095459,0.843887,-6960.770508
486,14.095459,0.843887,-6960.770508
487,14.095459,0.843887,-6960.770508
488,14.095459,0.843887,-6960.770508
489,14.095459,0.843887,-6960.770508
490,14.095459,0.843887,-6960.770508
491,14.095459,0.843887,-6960.770508
492,14.095459,0.843887,-6960.770508
493,14.095459,0.843887,-6960.770508
494,14.095459,0.843887,-6960.770508
495,14.095459,0.843887,-6960.770508
496,14.095459,0.843887,-6960.770508
497,14.095459,0.843887,-6960.770508
498,14.095459,0.843887,-6960.770508
499,14.095459,0.843887,-6960.770508
500,14.095459,0.843887,-6960.770508
501,14.095459,0.843887,-6960.770508
502,14.095459,0.843887,-6960.770508
503,14.095459,0.843887,-6960.770508
504,14.095459,0.843887,-6960.770508
505,14.095459,0.843887,-6960.770508
506,14.095459,0.843887,-6960.770508
507,14.095459,0.843887,-6960.770508
508,14.095459,0.843887,-6960.770508
509,14.095459,0.843887,-6960.770508
510,14.095459,0.843887,-6960.770508
511,14.095459,0.843887,-6960.770508
512,14.095459,0.843887,-6960.770508
513,14.095459,0.843887,-6960.770508
514,14.095459,0.843887,-6960.770508
515,14.095459,0.843887,-6960.770508
516,14.095459,0.843887,-6960.770508
517,14.095459,0.843887,-6960.770508
518,14.095459,0.843887,-6960.770508
519,14.095459,0.843887,-6960.770508
520,14.095459,0.843887,-6960.770508
521,14.095459,0.843887,-6960.770508
522,14.095459,0.843887,-6960.770508
523,14.095459,0.843887,-6960.770508
524,14.095459,0.843887,-6960.770508
525,14.095459,0.843887,-6960.770508
526,14.095459,0.843887,-6960.770508
527,14.095459,0.843887,-6960.770508
528,14.095459,0.843887,-6960.770508
529,14.095459,0.843887,-6960.770508
530,14.095459,0.843887,-6960.770508
531,14.095459,0.843887,-6960.770508
532,14.095459,0.843887,-6960.770508
533,14.095459,0.843887,-6960.770508
534,14.095459,0.843887,-6960.770508
535,14.095459,0.843887,-6960.770508
536,14.095459,0.843887,-6960.770508
537,14.095459,0.843872,-6960.787598
538,14.095459,0.843872,-6960.787598
539,14.095459,0.843872,-6960.787598
540,14.095459,0.843872,-6960.787598
541,14.095459,0.843872,-6960.787598
542,14.095459,0.843872,-6960.787598
543,14.095459,0.843872,-6960.787598
544,14.095459,0.843872,-6960.787598
545,14.095459,0.843872,-6960.787598
546,14.095459,0.843872,-6960.787598
547,14.095459,0.843872,-6960.787598
548,14.095459,0.843872,-6960.787598
549,14.095459,0.843872,-6960.787598
550,14.095459,0.843872,-6960.787598
551,14.095459,0.843872,-6960.787598
552,14.095459,0.843872,-6960.787598
553,14.095459,0.843872,-6960.787598
554,14.095459,0.843872,-6960.787598
555,14.095459,0.843872,-6960.787598
556,14.095459,0.843872,-6960.787598
557,14.095459,0.843872,-6960.787598
558,14.095459,0.843872,-6960.787598
559,14.095459,0.843872,-6960.787598
560,14.095459,0.843872,-6960.787598
561,14.095459,0.843872,-6960.787598
562,14.095459,0.843872,-6960.787598
